writing,phonetic,count
จักจั่นทะเล,t͡ɕak̚˨˩.ka˨˩.t͡ɕan˨˩.tʰa˦˥.leː˧,1
จักจี้,t͡ɕak̚˨˩.ka˨˩.t͡ɕiː˥˩,1
จักร,t͡ɕak̚˨˩,2
จักร,t͡ɕak̚˨˩.kra˨˩.,2
จักรพรรดิ,t͡ɕak̚˨˩.kra˨˩.pʰat̚˦˥,1
จักรพรรดินี,t͡ɕak̚˨˩.kra˨˩.pʰat̚˦˥.di˨˩.niː˧,1
จักรยาน,t͡ɕak̚˨˩.kra˨˩.jaːn˧,1
จักรยานยนต์,t͡ɕak̚˨˩.kra˨˩.jaːn˧.jon˧,1
จักรราศี,t͡ɕak̚˨˩.kra˨˩.raː˧.siː˩˩˦,1
จักรวรรดิ,t͡ɕak̚˨˩.kra˨˩.wat̚˨˩,1
จักรวรรดินิยม,t͡ɕak̚˨˩.kra˨˩.wat̚˨˩.ni˦˥.jom˧,1
จักรวรรดิบริติช,t͡ɕak̚˨˩.kra˨˩.wat̚˨˩.bri˨˩.tit̚˦˥,2
จักรวรรดิบริติช,t͡ɕak̚˨˩.kra˨˩.wat̚˨˩.bri˦˥.tit̚˦˥,2
จักรวรรดิรัสเซีย,t͡ɕak̚˨˩.kra˨˩.wat̚˨˩.rat̚˦˥.sia̯˧,1
จักรวรรดิออตโตมัน,t͡ɕak̚˨˩.kra˨˩.wat̚˨˩.ʔɔːt̚˦˥.toː˧.man˧,1
จักรวรรดิอังกฤษ,t͡ɕak̚˨˩.kra˨˩.wat̚˨˩.ʔaŋ˧.krit̚˨˩,1
จักรวรรดิโรมัน,t͡ɕak̚˨˩.kra˨˩.wat̚˨˩.roː˧.man˧,1
จักรวรรดิโรมันอันศักดิ์สิทธิ์,t͡ɕak̚˨˩.kra˨˩.wat̚˨˩.roː˧.man˧.ʔan˧.sak̚˨˩.sit̚˨˩,1
จักรวรรดิไบแซนไทน์,t͡ɕak̚˨˩.kra˨˩.wat̚˨˩.baj˧.sɛːn˧.tʰaj˧,1
จักรวาล,t͡ɕak̚˨˩.kra˨˩.waːn˧,2
จักรวาล,t͡ɕak̚˨˩.kra˨˩.waː˧.la˦˥.,2
จักรวาฬ,t͡ɕak̚˨˩.kra˨˩.waːn˧,1
จักรี,t͡ɕak̚˨˩.kriː˧,1
จักรเย็บ,t͡ɕak̚˨˩.jep̚˦˥,1
จักรเย็บผ้า,t͡ɕak̚˨˩.jep̚˦˥.pʰaː˥˩,1
จักษุ,t͡ɕak̚˨˩.suʔ˨˩,1
จักษุวิทยา,t͡ɕak̚˨˩.su˨˩.wit̚˦˥.tʰa˦˥.jaː˧,1
จักษุแพทย์,t͡ɕak̚˨˩.su˨˩.pʰɛːt̚˥˩,1
จัง,t͡ɕaŋ˧,1
จังกอบ,t͡ɕaŋ˧.kɔːp̚˨˩,1
จังหวะ,t͡ɕaŋ˧.waʔ˨˩,1
จังหวัด,t͡ɕaŋ˧.wat̚˨˩,1
จังหัน,t͡ɕaŋ˧.han˩˩˦,1
จังไร,t͡ɕaŋ˧.raj˧,1
จัญไร,t͡ɕan˧.raj˧,1
จัด,t͡ɕat̚˨˩,1
จัดการ,t͡ɕat̚˨˩.kaːn˧,1
จัดจ้าน,t͡ɕat̚˨˩.t͡ɕaːn˥˩,1
จัดสรร,t͡ɕat̚˨˩.san˩˩˦,1
จัดส่ง,t͡ɕat̚˨˩.soŋ˨˩,1
จัดหา,t͡ɕat̚˨˩.haː˩˩˦,1
จัดเจน,t͡ɕat̚˨˩.t͡ɕeːn˧,1
จัดแจง,t͡ɕat̚˨˩.t͡ɕɛːŋ˧,1
จัดแถว,t͡ɕat̚˨˩.tʰɛːw˩˩˦,1
จัดไป,t͡ɕat̚˨˩.paj˧,1
จัตวา,t͡ɕat̚˨˩.ta˨˩.waː˧,1
จัตวาศก,t͡ɕat̚˨˩.ta˨˩.waː˧.sok̚˨˩,1
จัตุรัส,t͡ɕat̚˨˩.tu˨˩.rat̚˨˩,1
จัตุรัสแดง,t͡ɕat̚˨˩.tu˨˩.rat̚˨˩.dɛːŋ˧,1
จัน,t͡ɕan˧,1
จันทน์,t͡ɕan˧,1
จันทน์เทศ,t͡ɕan˧.tʰeːt̚˥˩,1
จันทบุรี,t͡ɕan˧.tʰa˦˥.bu˨˩.riː˧,2
จันทบุรี,t͡ɕan˧.bu˨˩.riː˧,2
จันทรคราส,t͡ɕan˧.tʰra˦˥.kʰraːt̚˥˩,1
จันทรพิมพ์,t͡ɕan˧.tʰra˦˥.pʰim˧,1
จันทรุปราคา,t͡ɕan˧.tʰru˦˥.pa˨˩.raː˧.kʰaː˧,2
จันทรุปราคา,t͡ɕan˧.tʰa˦˥.rup̚˦˥.pa˨˩.raː˧.kʰaː˧,2
จันทร์,t͡ɕan˧,1
จันทัน,t͡ɕan˧.tʰan˧,1
จันอับ,t͡ɕan˧.ʔap̚˨˩,1
จับ,t͡ɕap̚˨˩,1
จับกลุ่ม,t͡ɕap̚˨˩.klum˨˩,1
จับกุม,t͡ɕap̚˨˩.kum˧,1
จับจอง,t͡ɕap̚˨˩.t͡ɕɔːŋ˧,1
จับจ่าย,t͡ɕap̚˨˩.t͡ɕaːj˨˩,1
จับฉ่าย,t͡ɕap̚˨˩.t͡ɕʰaːj˨˩,1
จับตา,t͡ɕap̚˨˩.taː˧,1
จับผิด,t͡ɕap̚˨˩.pʰit̚˨˩,1
จับมือ,t͡ɕap̚˨˩.mɯː˧,1
จับหวัด,t͡ɕap̚˨˩.wat̚˨˩,1
จับเวลา,t͡ɕap̚˨˩.weː˧.laː˧,1
จับไข้,t͡ɕap̚˨˩.kʰaj˥˩,1
จั่ว,t͡ɕua̯˨˩,1
จั๊กกะแร้,t͡ɕak̚˦˥.ka˨˩.rɛː˦˥,1
จาก,t͡ɕaːk̚˨˩,1
จากัวร์,t͡ɕaː˧.kua̯˧,2
จากัวร์,t͡ɕaː˧.kua̯˥˩,2
จาการ์ตา,t͡ɕaː˧.kaː˧.taː˥˩,1
จาง,t͡ɕaːŋ˧,1
จางวาง,t͡ɕaːŋ˧.waːŋ˧,1
จางหาย,t͡ɕaːŋ˧.haːj˩˩˦,1
จาน,t͡ɕaːn˧,1
จานบิน,t͡ɕaːn˧.bin˧,1
จานฝนหมึก,t͡ɕaːn˧.fon˩˩˦.mɯk̚˨˩,1
จานเสียง,t͡ɕaːn˧.sia̯ŋ˩˩˦,1
จาบ,t͡ɕaːp̚˨˩,1
จาม,t͡ɕaːm˧,1
จามจุรี,t͡ɕaːm˧.t͡ɕu˨˩.riː˧,1
จามรี,t͡ɕaː˧.ma˦˥.riː˧,1
จาร,t͡ɕaːn˧,2
จาร,t͡ɕaː˧.ra˦˥.,2
จารกรรม,t͡ɕaː˧.ra˦˥.kam˧,1
จารกรรมทางอุตสาหกรรม,t͡ɕaː˧.ra˦˥.kam˧.tʰaːŋ˧.ʔut̚˨˩.saː˩˩˦.ha˨˩.kam˧,1
จารชน,t͡ɕaː˧.ra˦˥.t͡ɕʰon˧,1
จาระบี,t͡ɕaː˧.ra˦˥.biː˧,1
จาระไน,t͡ɕaː˧.ra˦˥.naj˧,1
จาริก,t͡ɕaː˧.rik̚˦˥,1
จารีต,t͡ɕaː˧.riːt̚˥˩,1
จารึก,t͡ɕaː˧.rɯk̚˦˥,1
จาวา,t͡ɕaː˧.waː˥˩,1
จาเมกา,t͡ɕaː˧.meː˧.kaː˥˩,1
จำ,t͡ɕam˧,1
จำกัด,t͡ɕam˧.kat̚˨˩,1
จำคุก,t͡ɕam˧.kʰuk̚˦˥,1
จำต้อง,t͡ɕam˧.tɔŋ˥˩,1
จำนง,t͡ɕam˧.noŋ˧,1
จำนวน,t͡ɕam˧.nua̯n˧,1
จำนวนจริง,t͡ɕam˧.nua̯n˧.t͡ɕiŋ˧,1
จำนวนจินตภาพ,t͡ɕam˧.nua̯n˧.t͡ɕin˧.ta˨˩.pʰaːp̚˥˩,1
จำนวนตรรกยะ,t͡ɕam˧.nua̯n˧.tak̚˨˩.ka˨˩.jaʔ˦˥,1
จำนวนธรรมชาติ,t͡ɕam˧.nua̯n˧.tʰam˧.ma˦˥.t͡ɕʰaːt̚˥˩,1
จำนวนอดิศัย,t͡ɕam˧.nua̯n˧.ʔa˨˩.di˨˩.saj˩˩˦,1
จำนวนอตรรกยะ,t͡ɕam˧.nua̯n˧.ʔa˨˩.tak̚˨˩.ka˨˩.jaʔ˦˥,1
จำนวนเฉพาะ,t͡ɕam˧.nua̯n˧.t͡ɕʰa˨˩.pʰɔʔ˦˥,1
จำนวนเชิงซ้อน,t͡ɕam˧.nua̯n˧.t͡ɕʰɤːŋ˧.sɔːn˦˥,1
จำนวนเชิงพีชคณิต,t͡ɕam˧.nua̯n˧.t͡ɕʰɤːŋ˧.pʰiː˧.t͡ɕʰa˦˥.kʰa˦˥.nit̚˦˥,1
จำนวนเต็ม,t͡ɕam˧.nua̯n˧.tem˧,1
จำนอง,t͡ɕam˧.nɔːŋ˧,1
จำนำ,t͡ɕam˧.nam˧,1
จำบัง,t͡ɕam˧.baŋ˧,1
จำปา,t͡ɕam˧.paː˧,1
จำปาดะ,t͡ɕam˧.paː˧.daʔ˨˩,1
จำปาศักดิ์,t͡ɕam˧.paː˧.sak̚˨˩,1
จำปี,t͡ɕam˧.piː˧,1
จำพวก,t͡ɕam˧.pʰua̯k̚˥˩,1
จำลอง,t͡ɕam˧.lɔːŋ˧,1
จำวัด,t͡ɕam˧.wat̚˦˥,1
จำศีล,t͡ɕam˧.siːn˩˩˦,1
จำหน่าย,t͡ɕam˧.naːj˨˩,1
จำเป็น,t͡ɕam˧.pen˧,1
จำเพาะ,t͡ɕam˧.pʰɔʔ˦˥,1
จำเริญ,t͡ɕam˧.rɤːn˧,1
จำเลย,t͡ɕam˧.lɤːj˧,1
จิก,t͡ɕik̚˨˩,1
จิกะไบต์,t͡ɕi˨˩.ka˨˩.baj˦˥,2
จิกะไบต์,t͡ɕik̚˦˥.ka˨˩.baj˦˥,2
จิงโจ้,t͡ɕiŋ˧.t͡ɕoː˥˩,1
จิงโจ้ต้นไม้,t͡ɕiŋ˧.t͡ɕoː˥˩.ton˥˩.maːj˦˥,1
จิงโจ้น้ำ,t͡ɕiŋ˧.t͡ɕoː˥˩.naːm˦˥,1
จิต,t͡ɕit̚˨˩,2
จิต,t͡ɕit̚˨˩.ta˨˩.,2
จิตกาธาน,t͡ɕit̚˨˩.ta˨˩.kaː˧.tʰaːn˧,1
จิตขุนทด,t͡ɕit̚˨˩.kʰun˩˩˦.tʰot̚˦˥,1
จิตบำบัด,t͡ɕit̚˨˩.bam˧.bat̚˨˩,2
จิตบำบัด,t͡ɕit̚˨˩.ta˨˩.bam˧.bat̚˨˩,2
จิตรกร,t͡ɕit̚˨˩.tra˨˩.kɔːn˧,1
จิตรกรรม,t͡ɕit̚˨˩.ta˨˩.kam˧,1
จิตรจุล,t͡ɕit̚˨˩.tra˨˩.t͡ɕun˧,1
จิตระ,t͡ɕit̚˨˩.traʔ˨˩,1
จิตวิญญาณ,t͡ɕit̚˨˩.win˧.jaːn˧,1
จิตวิทยา,t͡ɕit̚˨˩.ta˨˩.wit̚˦˥.tʰa˦˥.jaː˧,1
จิตเวชศาสตร์,t͡ɕit̚˨˩.ta˨˩.weːt̚˥˩.t͡ɕʰa˦˥.saːt̚˨˩,1
จิตแพทย์,t͡ɕit̚˨˩.ta˨˩.pʰɛːt̚˥˩,1
จิตใจ,t͡ɕit̚˨˩.t͡ɕaj˧,1
จินดา,t͡ɕin˧.daː˧,1
จินตนา,t͡ɕin˧.ta˨˩.naː˧,1
จินตนาการ,t͡ɕin˧.ta˨˩.naː˧.kaːn˧,1
จินตนิมิต,t͡ɕin˧.ta˨˩.ni˦˥.mit̚˦˥,1
จินตนิยม,t͡ɕin˧.ta˨˩.ni˦˥.jom˧,1
จินตภาพ,t͡ɕin˧.ta˨˩.pʰaːp̚˥˩,1
จิบ,t͡ɕip̚˨˩,1
จิบูตี,t͡ɕi˨˩.buː˧.tiː˧,1
จิปาถะ,t͡ɕi˨˩.paː˧.tʰaʔ˨˩,1
จิมิ,t͡ɕi˨˩.miʔ˦˥,1
จิระ,t͡ɕi˨˩.ra˦˥.,1
จิรายุ,t͡ɕi˨˩.raː˧.juʔ˦˥,1
จิ้งจก,t͡ɕiŋ˥˩.t͡ɕok̚˨˩,1
จิ้งจอก,t͡ɕiŋ˥˩.t͡ɕɔːk̚˨˩,1
จิ้งหรีด,t͡ɕiŋ˥˩.riːt̚˨˩,1
จิ้งเหลน,t͡ɕiŋ˥˩.leːn˩˩˦,1
จิ้น,t͡ɕin˥˩,1
จิ้ม,t͡ɕim˥˩,1
จิ๊ก,t͡ɕik̚˦˥,1
จิ๊กซอว์,t͡ɕik̚˦˥.sɔː˧,1
จิ๊กโก๋,t͡ɕik̚˦˥.koː˩˩˦,1
จิ๊กโฉ่ว,t͡ɕik̚˦˥.t͡ɕʰoːw˨˩,1
จิ๊จ๊ะ,t͡ɕi˦˥.t͡ɕaʔ˦˥,1
จิ๊บจ๊อย,t͡ɕip̚˦˥.t͡ɕɔːj˦˥,1
จิ๊มิ,t͡ɕi˦˥.miʔ˦˥,1
จิ๋ม,t͡ɕim˩˩˦,1
จิ๋ว,t͡ɕiw˩˩˦,1
จี,t͡ɕiː˧,1
จีน,t͡ɕiːn˧,1
จีนกลาง,t͡ɕiːn˧.klaːŋ˧,1
จีนแดง,t͡ɕiːn˧.dɛːŋ˧,1
จีนแส,t͡ɕiːn˧.sɛː˩˩˦,1
จีบ,t͡ɕiːp̚˨˩,1
จีรัง,t͡ɕiː˧.raŋ˧,1
จี้,t͡ɕiː˥˩,1
จี๊ด,t͡ɕiːt̚˦˥,1
จึง,t͡ɕɯŋ˧,1
จึ้ง,t͡ɕɯŋ˥˩,1
จืด,t͡ɕɯːt̚˨˩,1
จุ,t͡ɕuʔ˨˩,1
จุก,t͡ɕuk̚˨˩,1
จุกนม,t͡ɕuk̚˨˩.nom˧,1
จุงเบย,t͡ɕuŋ˧.bɤːj˧,1
จุณสี,t͡ɕun˧.na˦˥.siː˩˩˦,1
จุด,t͡ɕut̚˨˩,1
จุดตรวจ,t͡ɕut̚˨˩.trua̯t̚˨˩,1
จุดบกพร่อง,t͡ɕut̚˨˩.bok̚˨˩.pʰrɔŋ˥˩,1
จุดประสงค์,t͡ɕut̚˨˩.pra˨˩.soŋ˩˩˦,1
จุดประสานประสาท,t͡ɕut̚˨˩.pra˨˩.saːn˩˩˦.pra˨˩.saːt̚˨˩,1
จุดยืน,t͡ɕut̚˨˩.jɯːn˧,1
จุดลูกน้ำ,t͡ɕut̚˨˩.luːk̚˥˩.naːm˦˥,1
จุดสุดยอด,t͡ɕut̚˨˩.sut̚˨˩.jɔːt̚˥˩,1
จุดสุดยอดทางเพศ,t͡ɕut̚˨˩.sut̚˨˩.jɔːt̚˥˩.tʰaːŋ˧.pʰeːt̚˥˩,1
จุดหมาย,t͡ɕut̚˨˩.maːj˩˩˦,1
จุดหมายปลายทาง,t͡ɕut̚˨˩.maːj˩˩˦.plaːj˧.tʰaːŋ˧,1
จุดเดือด,t͡ɕut̚˨˩.dɯa̯t̚˨˩,1
จุดเยือกแข็ง,t͡ɕut̚˨˩.jɯa̯k̚˥˩.kʰɛŋ˩˩˦,1
จุดไข่ปลา,t͡ɕut̚˨˩.kʰaj˨˩.plaː˧,1
จุน,t͡ɕun˧,1
จุนสี,t͡ɕun˧.na˦˥.siː˩˩˦,1
จุมพฏ,t͡ɕum˧.pʰot̚˦˥,1
จุมพต,t͡ɕum˧.pʰot̚˦˥,1
จุมพิต,t͡ɕum˧.pʰit̚˦˥,1
จุล,t͡ɕun˧,2
จุล,t͡ɕun˧.la˦˥.,2
จุลชีพ,t͡ɕun˧.la˦˥.t͡ɕʰiːp̚˥˩,1
จุลชีววิทยา,t͡ɕun˧.la˦˥.t͡ɕʰiː˧.wa˦˥.wit̚˦˥.tʰa˦˥.jaː˧,1
จุลภาค,t͡ɕun˧.la˦˥.pʰaːk̚˥˩,1
จุลมงกุฎ,t͡ɕun˧.la˦˥.moŋ˧.kut̚˨˩,1
จุลรัฐ,t͡ɕun˧.la˦˥.rat̚˦˥,1
จุลศักราช,t͡ɕun˧.la˦˥.sak̚˨˩.ka˨˩.raːt̚˨˩,1
จุลสาร,t͡ɕun˧.la˦˥.saːn˩˩˦,1
จุลาจล,t͡ɕu˨˩.laː˧.t͡ɕon˧,1
จุลินทรีย์,t͡ɕu˨˩.lin˧.siː˧,1
จุหรุด,t͡ɕu˨˩.rut̚˨˩,1
จุฬา,t͡ɕu˨˩.laː˧,1
จุ่ม,t͡ɕum˨˩,1
จุ้ม,t͡ɕum˥˩,1
จุ๊บ,t͡ɕup̚˦˥,1
จูง,t͡ɕuːŋ˧,1
จูงจมูก,t͡ɕuːŋ˧.t͡ɕa˨˩.muːk̚˨˩,1
จูงใจ,t͡ɕuːŋ˧.t͡ɕaj˧,1
จูบ,t͡ɕuːp̚˨˩,1
จูบา,t͡ɕuː˧.baː˧,1
จูล,t͡ɕuːn˧,1
จู่โจม,t͡ɕuː˨˩.t͡ɕoːm˧,1
จเร,t͡ɕa˨˩.reː˧,1
จแจ้น,t͡ɕa˨˩.t͡ɕɛn˥˩,1
จ่,t͡ɕaʔ˨˩,1
จ่อ,t͡ɕɔː˨˩,1
จ่า,t͡ɕaː˨˩,1
จ่าฝูง,t͡ɕaː˨˩.fuːŋ˩˩˦,1
จ่าย,t͡ɕaːj˨˩,1
จ่าหน้า,t͡ɕaː˨˩.naː˥˩,1
จ้วง,t͡ɕua̯ŋ˥˩,1
จ้อง,t͡ɕɔŋ˥˩,1
จ้ะ,t͡ɕaʔ˥˩,1
จ้า,t͡ɕaː˥˩,1
จ้าง,t͡ɕaːŋ˥˩,1
จ้างแรงงาน,t͡ɕaːŋ˥˩.rɛːŋ˧.ŋaːn˧,1
จ้าว,t͡ɕaːw˥˩,1
จ้ำจี้,t͡ɕam˥˩.t͡ɕiː˥˩,1
จ๊ะเอ๋,t͡ɕa˦˥.ʔeː˩˩˦,1
จ๊าก,t͡ɕaːk̚˦˥,1
จ๊าด,t͡ɕaːt̚˦˥,1
จ๋อ,t͡ɕɔː˩˩˦,1
จ๋อย,t͡ɕɔj˩˩˦,1
ฉ,t͡ɕʰɔː˩˩˦,5
ฉ,t͡ɕʰɔː˥˩,5
ฉ,t͡ɕʰaʔ˨˩,5
ฉ,t͡ɕʰɔː˩˩˦,5
ฉ,t͡ɕʰɔː˩˩˦.t͡ɕʰiŋ˨˩,5
ฉก,t͡ɕʰok̚˨˩,1
ฉกรรจ์,t͡ɕʰa˨˩.kan˧,1
ฉงน,t͡ɕʰa˨˩.ŋon˩˩˦,1
ฉช,t͡ɕʰɔː˩˩˦.t͡ɕʰɔː˧,1
ฉทวาร,t͡ɕʰa˨˩.tʰa˦˥.waːn˧,1
ฉนวน,t͡ɕʰa˨˩.nua̯n˩˩˦,1
ฉนาก,t͡ɕʰa˨˩.naːk̚˨˩,1
ฉนำ,t͡ɕʰa˨˩.nam˩˩˦,1
ฉบับ,t͡ɕʰa˨˩.bap̚˨˩,1
ฉมบ,t͡ɕʰa˨˩.mop̚˦˥,1
ฉมวก,t͡ɕʰa˨˩.mua̯k̚˨˩,1
ฉลอง,t͡ɕʰa˨˩.lɔːŋ˩˩˦,1
ฉลองพระเนตร,t͡ɕʰa˨˩.lɔːŋ˩˩˦.pʰra˦˥.neːt̚˥˩,1
ฉลาก,t͡ɕʰa˨˩.laːk̚˨˩,1
ฉลาด,t͡ɕʰa˨˩.laːt̚˨˩,1
ฉลาดเป็นกรด,t͡ɕʰa˨˩.laːt̚˨˩.pen˧.krot̚˨˩,1
ฉลาม,t͡ɕʰa˨˩.laːm˩˩˦,1
ฉลามปากเป็ด,t͡ɕʰa˨˩.laːm˩˩˦.paːk̚˨˩.pet̚˨˩,1
ฉลามวาฬ,t͡ɕʰa˨˩.laːm˩˩˦.waːn˧,1
ฉลู,t͡ɕʰa˨˩.luː˩˩˦,1
ฉลูศก,t͡ɕʰa˨˩.luː˩˩˦.sok̚˨˩,1
ฉวย,t͡ɕʰua̯j˩˩˦,1
ฉวัดเฉวียน,t͡ɕʰa˨˩.wat̚˨˩.t͡ɕʰa˨˩.wia̯n˩˩˦,1
ฉศก,t͡ɕʰɔː˩˩˦.sok̚˨˩,1
ฉะนั้น,t͡ɕʰa˨˩.nan˦˥,1
ฉะเชิงเทรา,t͡ɕʰa˨˩.t͡ɕʰɤːŋ˧.saw˧,1
ฉัด,t͡ɕʰat̚˨˩,1
ฉัตตีสครห์,t͡ɕʰat̚˨˩.tiː˧.sa˨˩.kʰa˦˥.raʔ˦˥,1
ฉัตร,t͡ɕʰat̚˨˩,3
ฉัตร,t͡ɕʰat̚˨˩.,3
ฉัตร,t͡ɕʰat̚˨˩.tra˨˩.,3
ฉัน,t͡ɕʰan˩˩˦,5
ฉัน,t͡ɕʰan˦˥,5
ฉัน,t͡ɕʰan˩˩˦,5
ฉัน,t͡ɕʰan˩˩˦,5
ฉัน,t͡ɕʰan˩˩˦,5
ฉันทลักษณ์,t͡ɕʰan˩˩˦.tʰa˦˥.lak̚˦˥,1
ฉันทะ,t͡ɕʰan˩˩˦.tʰaʔ˦˥,1
ฉันนั้น,t͡ɕʰan˩˩˦.nan˦˥,1
ฉันรักคุณ,t͡ɕʰan˩˩˦.rak̚˦˥.kʰun˧,1
ฉันใด,t͡ɕʰan˩˩˦.daj˧,1
ฉับพลัน,t͡ɕʰap̚˨˩.pʰlan˧,1
ฉาก,t͡ɕʰaːk̚˨˩,1
ฉากทัศน์,t͡ɕʰaːk̚˨˩.tʰat̚˦˥,1
ฉาง,t͡ɕʰaːŋ˩˩˦,1
ฉาน,t͡ɕʰaːn˩˩˦,1
ฉาบ,t͡ɕʰaːp̚˨˩,1
ฉาย,t͡ɕʰaːj˩˩˦,1
ฉายา,t͡ɕʰaː˩˩˦.jaː˧,1
ฉายาลักษณ์,t͡ɕʰaː˩˩˦.jaː˧.lak̚˦˥,1
ฉาว,t͡ɕʰaːw˩˩˦,1
ฉิง,t͡ɕʰiŋ˩˩˦,1
ฉิบหาย,t͡ɕʰip̚˨˩.haːj˩˩˦,2
ฉิบหาย,t͡ɕʰip̚˦˥.haːj˩˩˦,2
ฉิ่ง,t͡ɕʰiŋ˨˩,1
ฉีก,t͡ɕʰiːk̚˨˩,1
ฉีกหน้า,t͡ɕʰiːk̚˨˩.naː˥˩,1
ฉีด,t͡ɕʰiːt̚˨˩,1
ฉีดยา,t͡ɕʰiːt̚˨˩.jaː˧,1
ฉี่,t͡ɕʰiː˨˩,1
ฉี่หนู,t͡ɕʰiː˨˩.nuː˩˩˦,1
ฉุก,t͡ɕʰuk̚˨˩,1
ฉุกเฉิน,t͡ɕʰuk̚˨˩.t͡ɕʰɤːn˩˩˦,1
ฉุด,t͡ɕʰut̚˨˩,1
ฉุน,t͡ɕʰun˩˩˦,1
ฉุนเฉียว,t͡ɕʰun˩˩˦.t͡ɕʰia̯w˩˩˦,1
ฉ่ำ,t͡ɕʰam˨˩,1
ฉ้อ,t͡ɕʰɔː˥˩,1
ฉ้อราษฎร์บังหลวง,t͡ɕʰɔː˥˩.raːt̚˥˩.baŋ˧.lua̯ŋ˩˩˦,1
ฉ้อโกง,t͡ɕʰɔː˥˩.koːŋ˧,1
ช,t͡ɕʰɔː˧,2
ช,t͡ɕʰɔː˧.t͡ɕʰaːŋ˦˥,2
ชก,t͡ɕʰok̚˦˥,1
ชง,t͡ɕʰoŋ˧,1
ชฎา,t͡ɕʰa˦˥.daː˧,1
ชด,t͡ɕʰot̚˦˥,1
ชดเชย,t͡ɕʰot̚˦˥.t͡ɕʰɤːj˧,1
ชน,t͡ɕʰon˧,3
ชน,t͡ɕʰon˧.na˦˥.,3
ชน,t͡ɕʰon˧,3
ชนกลุ่มน้อย,t͡ɕʰon˧.klum˨˩.nɔːj˦˥,1
ชนชั้น,t͡ɕʰon˧.t͡ɕʰan˦˥,1
ชนชั้นแรงงาน,t͡ɕʰon˧.t͡ɕʰan˦˥.rɛːŋ˧.ŋaːn˧,1
ชนช้าง,t͡ɕʰon˧.t͡ɕʰaːŋ˦˥,1
ชนท้าย,t͡ɕʰon˧.tʰaːj˦˥,1
ชนบท,t͡ɕʰon˧.na˦˥.bot̚˨˩,1
ชนม,t͡ɕʰon˧.ma˦˥.,1
ชนมพรรษา,t͡ɕʰon˧.ma˦˥.pʰan˧.saː˩˩˦,1
ชนม์,t͡ɕʰon˧,1
ชนม์พรรษา,t͡ɕʰon˧.pʰan˧.saː˩˩˦,1
ชนวน,t͡ɕʰa˦˥.nua̯n˧,1
ชนะ,t͡ɕʰa˦˥.naʔ˦˥,1
ชนิด,t͡ɕʰa˦˥.nit̚˦˥,1
ชนิดของคำ,t͡ɕʰa˦˥.nit̚˦˥.kʰɔːŋ˩˩˦.kʰam˧,1
ชนแก้ว,t͡ɕʰon˧.kɛːw˥˩,1
ชบ,t͡ɕʰɔː˧.bɔː˧,1
ชบา,t͡ɕʰa˦˥.baː˧,1
ชม,t͡ɕʰom˧,2
ชม,t͡ɕʰɔː˧.mɔː˧,2
ชมพู,t͡ɕʰom˧.pʰuː˧,1
ชมพูทวีป,t͡ɕʰom˧.pʰuː˧.tʰa˦˥.wiːp̚˥˩,1
ชมพูพันธุ์ทิพย์,t͡ɕʰom˧.pʰuː˧.pʰan˧.tʰip̚˦˥,1
ชมพู่,t͡ɕʰom˧.pʰuː˥˩,1
ชมรม,t͡ɕʰom˧.rom˧,1
ชยันโต,t͡ɕʰa˦˥.jan˧.toː˧,1
ชร,t͡ɕʰɔː˧.rɔː˧,1
ชรา,t͡ɕʰa˦˥.raː˧,1
ชล,t͡ɕʰon˧,2
ชล,t͡ɕʰon˧.la˦˥.,2
ชลธาร,t͡ɕʰon˧.la˦˥.tʰaːn˧,1
ชลธี,t͡ɕʰon˧.la˦˥.tʰiː˧,1
ชลบุรี,t͡ɕʰon˧.bu˨˩.riː˧,1
ชลประทาน,t͡ɕʰon˧.la˦˥.pra˨˩.tʰaːn˧,2
ชลประทาน,t͡ɕʰon˧.pra˨˩.tʰaːn˧,2
ชลิตา,t͡ɕʰa˦˥.li˦˥.taː˧,1
ชลูกา,t͡ɕʰa˦˥.luː˧.kaː˧,1
ชวด,t͡ɕʰua̯t̚˥˩,1
ชวดศก,t͡ɕʰua̯t̚˥˩.sok̚˨˩,1
ชวน,t͡ɕʰua̯n˧,2
ชวน,t͡ɕʰa˦˥.wa˦˥.na˦˥.,2
ชวนหัว,t͡ɕʰua̯n˧.hua̯˩˩˦,1
ชวร,t͡ɕʰua̯n˧,1
ชวา,t͡ɕʰa˦˥.waː˧,1
ชอน,t͡ɕʰɔːn˧,1
ชอบ,t͡ɕʰɔːp̚˥˩,1
ชอบธรรม,t͡ɕʰɔːp̚˥˩.tʰam˧,1
ชอปปิ้ง,t͡ɕʰɔp̚˦˥.piŋ˥˩,1
ชอล์ก,t͡ɕʰɔk̚˦˥,1
ชอล์ค,t͡ɕʰɔk̚˦˥,1
ชะ,t͡ɕʰaʔ˦˥,1
ชะคราม,t͡ɕʰa˦˥.kʰraːm˧,1
ชะงัก,t͡ɕʰa˦˥.ŋak̚˦˥,1
ชะงัด,t͡ɕʰa˦˥.ŋat̚˦˥,1
ชะตา,t͡ɕʰa˦˥.taː˧,1
ชะนี,t͡ɕʰa˦˥.niː˧,1
ชะพลู,t͡ɕʰa˦˥.pʰluː˧,1
ชะมด,t͡ɕʰa˦˥.mot̚˦˥,1
ชะมวง,t͡ɕʰa˦˥.mua̯ŋ˧,1
ชะมัด,t͡ɕʰa˦˥.mat̚˦˥,1
